meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
17th FINA World Championships 2017,51.71,23/07/2017,Women 100 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,1,1,1020,Budapest,HUN
Olympic Games Tokyo 2020,51.96,30/07/2021,Women 100 Freestyle LCM Female,AUS,Australia,"MCKEON, Emma",F,24/05/1994,,,2,2,985,Tokyo,JPN
13th Pan Pacific Championships 2018,52.03,10/08/2018,Women 100 Freestyle LCM Female,AUS,Australia,"CAMPBELL, Cate",F,20/05/1992,,,3,3,981,Tokyo,JPN
18th FINA World Championships 2019,52.04,26/07/2019,Women 100 Freestyle LCM Female,USA,United States of America,"MANUEL, Simone",F,02/08/1996,,,4,4,981,Gwangju,KOR
Swimming Australia Grand Prix 2016,52.06,02/07/2016,Women 100 Freestyle LCM Female,AUS,Australia,"CAMPBELL, Cate",F,20/05/1992,,,5,5,1000,Brisbane,AUS
13th FINA World Championships 2009,52.07,31/07/2009,Women 100 Freestyle LCM Female,GER,Germany,"STEFFEN, Britta",F,16/11/1983,,,6,6,,Rome,ITA
Mare Nostrum -  Meeting International de Canet-en-Roussillon 2017,52.08,18/06/2017,Women 100 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,7,7,998,Canet-en-Roussillon,FRA
Hancock Prospecting Australian Swimming Trials 2019,52.12,13/06/2019,Women 100 Freestyle LCM Female,AUS,Australia,"CAMPBELL, Cate",F,20/05/1992,,,8,8,976,Brisbane,AUS
Olympic Games Tokyo 2020,52.13,28/07/2021,Women 100 Freestyle LCM Female,AUS,Australia,"MCKEON, Emma",F,24/05/1994,,,9,9,976,Tokyo,JPN
Hancock Prospecting Australian Swimming Trials 2021,52.19,16/06/2021,Women 100 Freestyle LCM Female,AUS,Australia,"MCKEON, Emma",F,24/05/1994,,,10,10,972,Adelaide,AUS
13th FINA World Championships 2009,52.22,26/07/2009,Women 100 Freestyle LCM Female,GER,Germany,"STEFFEN, Britta",F,16/11/1983,,,11,11,,Rome,ITA
18th FINA World Championships 2019,52.23,21/07/2019,Women 100 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,12,12,970,Gwangju,KOR
Olympic Games Tokyo 2020,52.27,30/07/2021,Women 100 Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan Bernadette",F,31/10/1997,,,13,13,968,Tokyo,JPN
21st Commonwealth Games 2018,52.27,09/04/2018,Women 100 Freestyle LCM Female,AUS,Australia,"CAMPBELL, Bronte",F,14/05/1994,,,13,14,968,Gold Coast,AUS
17th FINA World Championships 2017,52.27,28/07/2017,Women 100 Freestyle LCM Female,USA,United States of America,"MANUEL, Simone",F,02/08/1996,,,13,15,987,Budapest,HUN
Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2017,52.28,14/06/2017,Women 100 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,16,16,987,Barcelona,ESP
Sydney Open 2021,52.29,13/05/2021,Women 100 Freestyle LCM Female,AUS,Australia,"MCKEON, Emma",F,24/05/1994,,,17,17,967,Sydney,AUS
17th FINA World Championships 2017,52.31,28/07/2017,Women 100 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,18,18,985,Budapest,HUN
Olympic Games Tokyo 2020,52.32,29/07/2021,Women 100 Freestyle LCM Female,AUS,Australia,"MCKEON, Emma",F,24/05/1994,,,19,19,965,Tokyo,JPN
15th FINA World Championships 2013,52.33,28/07/2013,Women 100 Freestyle LCM Female,AUS,Australia,"CAMPBELL, Cate",F,20/05/1992,,,20,20,985,Barcelona,ESP
FINA Swimming World Cup 2019,52.34,10/08/2019,Women 100 Freestyle LCM Female,AUS,Australia,"CAMPBELL, Cate",F,20/05/1992,,,21,21,964,Jinan,CHN
15th FINA World Championships 2013,52.34,02/08/2013,Women 100 Freestyle LCM Female,AUS,Australia,"CAMPBELL, Cate",F,20/05/1992,,,21,22,984,Barcelona,ESP
