meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
13th FINA World Championships 2009,03:40.07,26/07/2009,Men 400 Freestyle LCM Male,GER,Germany,"BIEDERMANN, Paul",M,07/08/1986,,,1,1,,Rome,ITA
17th Commonwealth Games 2002,03:40.08,30/07/2002,Men 400 Freestyle LCM Male,AUS,Australia,"THORPE, Ian",M,13/10/1982,,,2,2,,Manchester,GBR
Olympic Games London 2012,03:40.14,28/07/2012,Men 400 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,3,3,999,London,GBR
9th FINA World Championships 2001,03:40.17,22/07/2001,Men 400 Freestyle LCM Male,AUS,Australia,"THORPE, Ian",M,13/10/1982,,,4,4,,Fukuoka,JPN
Chinese National Championships (50m),03:40.29,23/09/2011,Men 400 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,5,5,997,Rizhao,CHN
Olympic Games Sydney 2000,03:40.59,16/09/2000,Men 400 Freestyle LCM Male,AUS,Australia,"THORPE, Ian",M,13/10/1982,,,6,6,,Sydney,AUS
13th FINA World Championships 2009,03:41.11,26/07/2009,Men 400 Freestyle LCM Male,TUN,Tunisia,"MELLOULI, Ous",M,16/02/1984,,,7,7,,Rome,ITA
19th FINA World Championships Budapest 2022,03:41.22,18/06/2022,Men 400 Freestyle LCM Male,AUS,Australia,"WINNINGTON, Elijah",M,05/05/2000,,,8,8,984,Budapest,HUN
Australian Olympic Swimming Trials,03:41.33,13/05/2000,Men 400 Freestyle LCM Male,AUS,Australia,"THORPE, Ian",M,13/10/1982,,,9,9,,Sydney,AUS
13th FINA World Championships 2009,03:41.35,26/07/2009,Men 400 Freestyle LCM Male,CHN,People's Republic of China,"ZHANG, Lin",M,06/01/1987,,,10,10,,Rome,ITA
17th FINA World Championships 2017,03:41.38,23/07/2017,Men 400 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,11,11,982,Budapest,HUN
Chinese National Championships (50m),03:41.48,02/04/2011,Men 400 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,12,12,981,Wuhan,CHN
16th Asian Games 2010,03:41.53,16/11/2010,Men 400 Freestyle LCM Male,KOR,Republic of Korea,"PARK, Taehwan",M,27/09/1989,,,13,13,980,Guangzhou,CHN
Olympic Games Rio 2016,03:41.55,06/08/2016,Men 400 Freestyle LCM Male,AUS,Australia,"HORTON, Mack",M,25/04/1996,,,14,14,980,Rio de Janeiro,BRA
15th FINA World Championships 2013,03:41.59,28/07/2013,Men 400 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,15,15,979,Barcelona,ESP
Malmsten Swim Open Stockholm,03:41.60,09/04/2022,Men 400 Freestyle LCM Male,GER,Germany,"MARTENS, Lukas",M,27/12/2001,,,16,16,979,Stockholm,SWE
Australian National Championships (50m),03:41.65,07/04/2016,Men 400 Freestyle LCM Male,AUS,Australia,"HORTON, Mack",M,25/04/1996,,,17,17,978,Adelaide,AUS
Olympic Games Rio 2016,03:41.68,06/08/2016,Men 400 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,18,18,978,Rio de Janeiro,BRA
8th Pan Pacific Championships 1999,03:41.83,22/08/1999,Men 400 Freestyle LCM Male,AUS,Australia,"THORPE, Ian",M,13/10/1982,,,19,19,,Sydney,AUS
Olympic Games Beijing 2008,03:41.86,10/08/2008,Men 400 Freestyle LCM Male,KOR,Republic of Korea,"PARK, Taehwan",M,27/09/1989,,,20,20,1011,Beijing,CHN
2017 National Games ,03:41.94,01/09/2017,Men 400 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,21,21,974,Tianjin,CHN
14th FINA World Championships 2011,03:42.04,24/07/2011,Men 400 Freestyle LCM Male,KOR,Republic of Korea,"PARK, Taehwan",M,27/09/1989,,,22,22,973,Shanghai,CHN
Olympic Games London 2012,03:42.06,28/07/2012,Men 400 Freestyle LCM Male,KOR,Republic of Korea,"PARK, Taehwan",M,27/09/1989,,,23,23,973,London,GBR
National Chinese Championships (50m),03:42.16,08/04/2017,Men 400 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,24,24,972,Qingdae,CHN
Chinese National Championships (50m),03:42.31,01/04/2012,Men 400 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,25,25,970,Shaoxing,CHN
18th FINA World Championships 2019,03:42.44,21/07/2019,Men 400 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,26,26,968,Gwangju,KOR
Olympic Games Beijing 2008,03:42.44,10/08/2008,Men 400 Freestyle LCM Male,CHN,People's Republic of China,"ZHANG, Lin",M,06/01/1987,,,26,27,1003,Beijing,CHN
16th Asian Games 2010,03:42.47,16/11/2010,Men 400 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,28,28,967,Guangzhou,CHN
Asian Swimming Championships 2012,03:42.49,16/11/2012,Men 400 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,29,29,967,Dubai,UAE
9th FINA World Championships 2001,03:42.51,22/07/2001,Men 400 Freestyle LCM Male,AUS,Australia,"HACKETT, Grant",M,09/05/1980,,,30,30,,Fukuoka,JPN
16th FINA World Championships 2015,03:42.58,02/08/2015,Men 400 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,31,31,966,Kazan,RUS
10th FINA World Championships 2003,03:42.58,20/07/2003,Men 400 Freestyle LCM Male,AUS,Australia,"THORPE, Ian",M,13/10/1982,,,31,32,,Barcelona,ESP
Hancock Prospecting Australian Swimming Trials 2021,03:42.65,12/06/2021,Men 400 Freestyle LCM Male,AUS,Australia,"WINNINGTON, Elijah",M,05/05/2000,,,33,33,965,Adelaide,AUS
FINA Champions Swim Series 2019,03:42.75,28/04/2019,Men 400 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,34,34,964,Guangzhou,CHN
Olympic Games Beijing 2008,03:42.78,10/08/2008,Men 400 Freestyle LCM Male,USA,United States of America,"JENSEN, Larsen",M,01/09/1985,,,35,35,998,Beijing,CHN
Australian National Championships (50m),03:42.84,03/04/2015,Men 400 Freestyle LCM Male,AUS,Australia,"HORTON, Mack",M,25/04/1996,,,36,36,963,Sydney,AUS
19th FINA World Championships Budapest 2022,03:42.85,18/06/2022,Men 400 Freestyle LCM Male,GER,Germany,"MARTENS, Lukas",M,27/12/2001,,,37,37,963,Budapest,HUN
2012 Miami Super Challenge,03:42.89,27/01/2012,Men 400 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,38,38,962,Gold Coast,AUS
11th FINA World Championships 2005,03:42.91,24/07/2005,Men 400 Freestyle LCM Male,AUS,Australia,"HACKETT, Grant",M,09/05/1980,,,39,39,,Montreal,CAN
18th Asian Games 2018,03:42.92,21/08/2018,Men 400 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,40,40,962,Jakarta,INA
Chinese National Championships (50m),03:42.93,01/04/2013,Men 400 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,41,41,962,Zhengzhou,CHN
13th FINA World Championships 2009,03:43.01,26/07/2009,Men 400 Freestyle LCM Male,GER,Germany,"BIEDERMANN, Paul",M,07/08/1986,,,42,42,,Rome,ITA
Australian National Championships (50m),03:43.10,18/05/2022,Men 400 Freestyle LCM Male,AUS,Australia,"WINNINGTON, Elijah",M,05/05/2000,,,43,43,959,Adelaide,AUS
