meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
13th FINA World Championships 2009,01:51.92,31/07/2009,Men 200 Backstroke LCM Male,USA,United States of America,"PEIRSOL, Aaron",M,23/07/1983,,,1,1,,Rome,ITA
13th FINA World Championships 2009,01:52.51,31/07/2009,Men 200 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,2,2,,Rome,ITA
14th FINA World Championships 2011,01:52.96,29/07/2011,Men 200 Backstroke LCM Male,USA,United States of America,"LOCHTE, Ryan",M,03/08/1984,,,3,3,972,Shanghai,CHN
US National Championships (50m),01:53.08,11/07/2009,Men 200 Backstroke LCM Male,USA,United States of America,"PEIRSOL, Aaron",M,23/07/1983,,,4,4,,Indianapolis,USA
FINA/airweave Swimming World Cup 2015,01:53.17,07/11/2015,Men 200 Backstroke LCM Male,AUS,Australia,"LARKIN, Mitchell",M,09/07/1993,,,5,5,967,Dubai,UAE
Russian National Swimming Championships (50m),01:53.23,08/04/2021,Men 200 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,6,6,965,Kazan,RUS
17th Asian Games 2014,01:53.26,25/09/2014,Men 200 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,7,7,964,Incheon,KOR
Olympic Games Tokyo 2020,01:53.27,30/07/2021,Men 200 Backstroke LCM Male,ROC,ROC,"RYLOV, Evgeny",M,23/09/1996,,,8,8,964,Tokyo,JPN
FINA/airweave Swimming World Cup 2015,01:53.34,29/10/2015,Men 200 Backstroke LCM Male,AUS,Australia,"LARKIN, Mitchell",M,09/07/1993,,,9,9,962,Tokyo,JPN
European Championships 2018,01:53.36,08/08/2018,Men 200 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,10,10,962,Glasgow,GBR
18th FINA World Championships 2019,01:53.40,26/07/2019,Men 200 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,11,11,961,Gwangju,KOR
Olympic Games London 2012,01:53.41,02/08/2012,Men 200 Backstroke LCM Male,USA,United States of America,"CLARY, Tyler",M,12/03/1989,,,12,12,961,London,GBR
13th Pan Pacific Championships 2018,01:53.57,12/08/2018,Men 200 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,13,13,957,Tokyo,JPN
16th FINA World Championships 2015,01:53.58,07/08/2015,Men 200 Backstroke LCM Male,AUS,Australia,"LARKIN, Mitchell",M,09/07/1993,,,14,14,956,Kazan,RUS
17th FINA World Championships 2017,01:53.61,28/07/2017,Men 200 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,15,15,956,Budapest,HUN
Olympic Games Rio 2016,01:53.62,11/08/2016,Men 200 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,16,16,955,Rio de Janeiro,BRA
