meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Phillips 66 International Team Trials 2022,23.71,28/04/2022,Men 50 Backstroke LCM Male,USA,United States of America,"ARMSTRONG, Hunter",M,24/01/2001,,,1,1,1011,Greensboro,USA
European Championships 2021,23.80,18/05/2021,Men 50 Backstroke LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,2,2,1025,Budapest,HUN
Phillips 66 International Team Trials 2022,23.92,28/04/2022,Men 50 Backstroke LCM Male,USA,United States of America,"RESS, Justin",M,03/08/1997,,,3,3,985,Greensboro,USA
Russian National Championships (50m),23.93,27/04/2022,Men 50 Backstroke LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,4,4,983,Kazan,RUS
European Championships 2021,23.93,17/05/2021,Men 50 Backstroke LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,4,5,1008,Budapest,HUN
Phillips 66 International Team Trials 2022,24.00,28/04/2022,Men 50 Backstroke LCM Male,USA,United States of America,"CASAS, Shaine",M,25/12/1999,,,6,6,975,Greensboro,USA
European Championships 2018,24.00,04/08/2018,Men 50 Backstroke LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,6,7,1005,Glasgow,GBR
Phillips 66 International Team Trials 2022,24.01,28/04/2022,Men 50 Backstroke LCM Male,USA,United States of America,"ARMSTRONG, Hunter",M,24/01/2001,,,8,8,973,Greensboro,USA
13th FINA World Championships 2009,24.04,02/08/2009,Men 50 Backstroke LCM Male,GBR,Great Britain,"TANCOCK, Liam",M,07/05/1985,,,9,9,,Rome,ITA
Phillips 66 International Team Trials 2022,24.05,28/04/2022,Men 50 Backstroke LCM Male,USA,United States of America,"RESS, Justin",M,03/08/1997,,,10,10,969,Greensboro,USA
European Championships 2010,24.07,12/08/2010,Men 50 Backstroke LCM Male,FRA,France,"LACOURT, Camille",M,22/04/1985,,,11,11,996,Budapest,HUN
Russian National Swimming Championships (50m),24.08,03/04/2021,Men 50 Backstroke LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,12,12,990,Kazan,RUS
13th FINA World Championships 2009,24.08,01/08/2009,Men 50 Backstroke LCM Male,GBR,Great Britain,"TANCOCK, Liam",M,07/05/1985,,,12,13,,Rome,ITA
19th FINA World Championships Budapest 2022,24.12,25/06/2022,Men 50 Backstroke LCM Male,USA,United States of America,"RESS, Justin",M,03/08/1997,,,14,14,960,Budapest,HUN
European Championships 2018,24.12,03/08/2018,Men 50 Backstroke LCM Male,ROU,Romania,"GLINTA, Robert",M,18/04/1997,,,14,15,990,Glasgow,GBR
19th FINA World Championships Budapest 2022,24.14,25/06/2022,Men 50 Backstroke LCM Male,USA,United States of America,"ARMSTRONG, Hunter",M,24/01/2001,,,16,16,958,Budapest,HUN
19th FINA World Championships Budapest 2022,24.14,24/06/2022,Men 50 Backstroke LCM Male,USA,United States of America,"RESS, Justin",M,03/08/1997,,,16,17,958,Budapest,HUN
Selectivo Unico Cancun 2022,24.15,08/04/2022,Men 50 Backstroke LCM Male,CLB,Club,"MARTINEZ MACIAL, Alan Salvador",M,11/02/2004,,,18,18,957,Cancun,MEX
19th FINA World Championships Budapest 2022,24.16,24/06/2022,Men 50 Backstroke LCM Male,USA,United States of America,"ARMSTRONG, Hunter",M,24/01/2001,,,19,19,955,Budapest,HUN
Russian National Championships (50m),24.19,26/04/2022,Men 50 Backstroke LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,20,20,952,Kazan,RUS
European Championships 2021,24.23,17/05/2021,Men 50 Backstroke LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,21,21,971,Budapest,HUN
Russian National Championships (50m),24.23,11/04/2019,Men 50 Backstroke LCM Male,RUS,Russian Federation,"NIKOLAEV, Mark",M,30/07/1997,,,21,22,971,Moscow,RUS
16th FINA World Championships 2015,24.23,09/08/2015,Men 50 Backstroke LCM Male,FRA,France,"LACOURT, Camille",M,22/04/1985,,,21,23,976,Kazan,RUS
19th FINA World Championships Budapest 2022,24.24,24/06/2022,Men 50 Backstroke LCM Male,USA,United States of America,"RESS, Justin",M,03/08/1997,,,24,24,946,Budapest,HUN
US National Championships (50m),24.24,27/07/2018,Men 50 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,24,25,975,Irvine,USA
13th FINA World Championships 2009,24.24,02/08/2009,Men 50 Backstroke LCM Male,JPN,Japan,"KOGA, Junya",M,19/07/1987,,,24,26,,Rome,ITA
Russian National Swimming Championships (50m),24.25,03/04/2021,Men 50 Backstroke LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,27,27,969,Kazan,RUS
European Championships 2018,24.25,03/08/2018,Men 50 Backstroke LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,27,28,974,Glasgow,GBR
16th FINA World Championships 2015,24.27,08/08/2015,Men 50 Backstroke LCM Male,FRA,France,"LACOURT, Camille",M,22/04/1985,,,29,29,971,Kazan,RUS
17th Asian Games 2014,24.28,22/09/2014,Men 50 Backstroke LCM Male,JPN,Japan,"KOGA, Junya",M,19/07/1987,,,30,30,970,Incheon,KOR
European Championships 2018,24.29,03/08/2018,Men 50 Backstroke LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,31,31,969,Glasgow,GBR
13th FINA World Championships 2009,24.29,01/08/2009,Men 50 Backstroke LCM Male,JPN,Japan,"KOGA, Junya",M,19/07/1987,,,31,32,,Rome,ITA
17th FINA World Championships 2017,24.30,29/07/2017,Men 50 Backstroke LCM Male,FRA,France,"LACOURT, Camille",M,22/04/1985,,,33,33,968,Budapest,HUN
European Championships 2010,24.30,11/08/2010,Men 50 Backstroke LCM Male,FRA,France,"LACOURT, Camille",M,22/04/1985,,,33,34,968,Budapest,HUN
US National Championships (50m),24.31,27/07/2018,Men 50 Backstroke LCM Male,USA,United States of America,"RESS, Justin",M,03/08/1997,,,35,35,967,Irvine,USA
European Championships 2018,24.32,03/08/2018,Men 50 Backstroke LCM Male,IRL,Ireland,"RYAN, Shane",M,27/01/1994,,,36,36,965,Glasgow,GBR
Dutch Swimming Cup,24.33,05/12/2008,Men 50 Backstroke LCM Male,USA,United States of America,"BAL, Randall",M,14/11/1980,,,37,37,1066,Eindhoven,NED
13th FINA World Championships 2009,24.34,02/08/2009,Men 50 Backstroke LCM Male,RSA,South Africa,"ZANDBERG, Johannes",M,23/04/1983,,,38,38,,Rome,ITA
18th FINA World Championships 2019,24.35,27/07/2019,Men 50 Backstroke LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,39,39,957,Gwangju,KOR
Russian National Championships 2018,24.35,20/04/2018,Men 50 Backstroke LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,39,40,962,Moscow,RUS
17th FINA World Championships 2017,24.35,30/07/2017,Men 50 Backstroke LCM Male,FRA,France,"LACOURT, Camille",M,22/04/1985,,,39,41,962,Budapest,HUN
US Nats Time Trials 2015,24.36,06/08/2015,Men 50 Backstroke LCM Male,JPN,Japan,"KOGA, Junya",M,19/07/1987,,,42,42,961,San Antonio,USA
French National Championships (50m),24.36,23/03/2011,Men 50 Backstroke LCM Male,FRA,France,"LACOURT, Camille",M,22/04/1985,,,42,43,961,Strasburg,FRA
French National Championships (50m),24.37,08/04/2014,Men 50 Backstroke LCM Male,FRA,France,"LACOURT, Camille",M,22/04/1985,,,44,44,959,Chartres,FRA
19th FINA World Championships Budapest 2022,24.39,24/06/2022,Men 50 Backstroke LCM Male,GRE,Greece,"CHRISTOU, Apostolos",M,01/11/1996,,,45,45,929,Budapest,HUN
56th International Trophy “Settecolli”,24.39,21/06/2019,Men 50 Backstroke LCM Male,USA,United States of America,"ANDREW, Michael",M,18/04/1999,,,45,46,952,Rome,ITA
15th FINA World Championships 2013,24.39,03/08/2013,Men 50 Backstroke LCM Male,FRA,France,"LACOURT, Camille",M,22/04/1985,,,45,47,957,Barcelona,ESP
FINA Swimming World Cup 2019,24.40,16/08/2019,Men 50 Backstroke LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,48,48,951,Singapore,SGP
Youth Olympic Games Buenos Aires 2018,24.40,10/10/2018,Men 50 Backstroke LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,48,49,956,Buenos Aires,ARG
US National Championships (50m),24.41,29/06/2017,Men 50 Backstroke LCM Male,USA,United States of America,"RESS, Justin",M,03/08/1997,,,50,50,955,Indianapolis,USA
European Championships 2021,24.42,18/05/2021,Men 50 Backstroke LCM Male,ROU,Romania,"GLINTA, Robert",M,18/04/1997,,,51,51,949,Budapest,HUN
National Chinese Championships (50m),24.42,08/04/2017,Men 50 Backstroke LCM Male,CHN,People's Republic of China,"XU, Jiayu",M,19/08/1995,,,51,52,954,Qingdae,CHN
15th FINA World Championships 2013,24.42,04/08/2013,Men 50 Backstroke LCM Male,FRA,France,"LACOURT, Camille",M,22/04/1985,,,51,53,954,Barcelona,ESP
FINA Swimming World Cup 2019,24.43,09/08/2019,Men 50 Backstroke LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,54,54,948,Jinan,CHN
18th FINA World Championships 2019,24.43,28/07/2019,Men 50 Backstroke LCM Male,RSA,South Africa,"WADDELL, Zane",M,18/03/1998,,,54,55,948,Gwangju,KOR
FINA Swimming World Cup 2018,24.43,08/09/2018,Men 50 Backstroke LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,54,56,952,Kazan,RUS
Australian National Championships (50m),24.44,20/05/2022,Men 50 Backstroke LCM Male,AUS,Australia,"COOPER, Isaac Alan",M,07/01/2004,,,57,57,923,Adelaide,AUS
17th FINA World Championships 2017,24.44,29/07/2017,Men 50 Backstroke LCM Male,JPN,Japan,"KOGA, Junya",M,19/07/1987,,,57,58,951,Budapest,HUN
Maria Lenk Trophy,24.44,24/04/2012,Men 50 Backstroke LCM Male,BRA,Brazil,"ORZECHOWSKI, Daniel",M,01/06/1985,,,57,59,951,Rio de Janeiro,BRA
Phillips 66 International Team Trials 2022,24.45,28/04/2022,Men 50 Backstroke LCM Male,USA,United States of America,"CASAS, Shaine",M,25/12/1999,,,60,60,922,Greensboro,USA
Mare Nostrum - 37th Meeting International de Natation de Monte Carlo 2019,24.45,09/06/2019,Men 50 Backstroke LCM Male,USA,United States of America,"ANDREW, Michael",M,18/04/1999,,,60,61,945,Monaco,MON
15th FINA World Championships 2013,24.45,03/08/2013,Men 50 Backstroke LCM Male,FRA,France,"STRAVIUS, Jeremy",M,14/07/1988,,,60,62,950,Barcelona,ESP
19th FINA World Championships Budapest 2022,24.46,24/06/2022,Men 50 Backstroke LCM Male,ITA,Italy,"CECCON, Thomas",M,27/01/2001,,,63,63,921,Budapest,HUN
30th Summer Universiade 2019,24.46,06/07/2019,Men 50 Backstroke LCM Male,RSA,South Africa,"WADDELL, Zane",M,18/03/1998,,,63,64,944,Napoli,ITA
US National Championships (50m),24.46,27/07/2018,Men 50 Backstroke LCM Male,USA,United States of America,"RESS, Justin",M,03/08/1997,,,63,65,949,Irvine,USA
Russian National Championships 2018,24.46,20/04/2018,Men 50 Backstroke LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,63,66,949,Moscow,RUS
17th Asian Games 2014,24.46,22/09/2014,Men 50 Backstroke LCM Male,JPN,Japan,"KOGA, Junya",M,19/07/1987,,,63,67,949,Incheon,KOR
13th FINA World Championships 2009,24.46,01/08/2009,Men 50 Backstroke LCM Male,FRA,France,"LACOURT, Camille",M,22/04/1985,,,63,68,,Rome,ITA
European Championships 2021,24.47,18/05/2021,Men 50 Backstroke LCM Male,ESP,Spain,"GONZALEZ, Hugo",M,19/02/1999,,,69,69,943,Budapest,HUN
National Swimming Championships 2019 (50m),24.47,31/03/2019,Men 50 Backstroke LCM Male,CHN,People's Republic of China,"XU, Jiayu",M,19/08/1995,,,69,70,943,Qingdao,CHN
2018 NC SwimMAC Ultraswim,24.47,16/06/2018,Men 50 Backstroke LCM Male,USA,United States of America,"RESS, Justin",M,03/08/1997,,,69,71,948,Charlotte,USA
British National Championships (50m),24.47,02/04/2008,Men 50 Backstroke LCM Male,GBR,Great Britain,"TANCOCK, Liam",M,07/05/1985,,,69,72,1048,Sheffield,GBR
19th FINA World Championships Budapest 2022,24.48,24/06/2022,Men 50 Backstroke LCM Male,POL,Poland,"MASIUK, Ksawery",M,17/12/2004,,,73,73,918,Budapest,HUN
30th Summer Universiade 2019,24.48,07/07/2019,Men 50 Backstroke LCM Male,RSA,South Africa,"WADDELL, Zane",M,18/03/1998,,,73,74,942,Napoli,ITA
30th Summer Universiade 2019,24.48,07/07/2019,Men 50 Backstroke LCM Male,USA,United States of America,"RESS, Justin",M,03/08/1997,,,73,75,942,Napoli,ITA
National Chinese Championships (50m),24.48,08/04/2017,Men 50 Backstroke LCM Male,CHN,People's Republic of China,"XU, Jiayu",M,19/08/1995,,,73,76,947,Qingdae,CHN
13th FINA World Championships 2009,24.48,01/08/2009,Men 50 Backstroke LCM Male,ESP,Spain,"WILDEBOER FABER, Aschwin",M,14/02/1986,,,73,77,,Rome,ITA
19th FINA World Championships Budapest 2022,24.49,25/06/2022,Men 50 Backstroke LCM Male,POL,Poland,"MASIUK, Ksawery",M,17/12/2004,,,78,78,917,Budapest,HUN
Malmsten Swim Open Stockholm,24.49,10/04/2022,Men 50 Backstroke LCM Male,ROU,Romania,"GLINTA, Robert",M,18/04/1997,,,78,79,917,Stockholm,SWE
European Championships 2021,24.49,17/05/2021,Men 50 Backstroke LCM Male,GRE,Greece,"CHRISTOU, Apostolos",M,01/11/1996,,,78,80,941,Budapest,HUN
18th FINA World Championships 2019,24.49,28/07/2019,Men 50 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,78,81,941,Gwangju,KOR
FINA Swimming World Cup 2018,24.49,14/09/2018,Men 50 Backstroke LCM Male,USA,United States of America,"ANDREW, Michael",M,18/04/1999,,,78,82,945,Doha,QAT
