meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Olympic Games Tokyo 2020,02:18.95,30/07/2021,Women 200 Breaststroke LCM Female,RSA,South Africa,"SCHOENMAKER, Tatjana",F,09/07/1997,,,1,1,1003,Tokyo,JPN
15th FINA World Championships 2013,02:19.11,01/08/2013,Women 200 Breaststroke LCM Female,DEN,Denmark,"PEDERSEN, Rikke",F,09/01/1989,,,2,2,1010,Barcelona,ESP
Olympic Games Tokyo 2020,02:19.16,28/07/2021,Women 200 Breaststroke LCM Female,RSA,South Africa,"SCHOENMAKER, Tatjana",F,09/07/1997,,,3,3,998,Tokyo,JPN
Olympic Games Tokyo 2020,02:19.33,29/07/2021,Women 200 Breaststroke LCM Female,RSA,South Africa,"SCHOENMAKER, Tatjana",F,09/07/1997,,,4,4,995,Tokyo,JPN
15th FINA World Championships 2013,02:19.41,02/08/2013,Women 200 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,5,5,1003,Barcelona,ESP
Olympic Games London 2012,02:19.59,02/08/2012,Women 200 Breaststroke LCM Female,USA,United States of America,"SONI, Rebecca",F,18/03/1987,,,6,6,1011,London,GBR
Eindhoven Swim Cup,02:19.61,10/04/2014,Women 200 Breaststroke LCM Female,DEN,Denmark,"PEDERSEN, Rikke",F,09/01/1989,,,7,7,989,Eindhoven,NED
17th FINA World Championships 2017,02:19.64,28/07/2017,Women 200 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,8,8,988,Budapest,HUN
5th FINA World Junior Swimming Championships 2015,02:19.64,30/08/2015,Women 200 Breaststroke LCM Female,TUR,Turkey,"GUNES, Viktoria",F,19/06/1998,,,8,9,988,Singapore,SGP
Japan Swim 2016,02:19.65,04/04/2016,Women 200 Breaststroke LCM Female,JPN,Japan,"KANETO, Rie",F,08/09/1988,,,10,10,988,Tokyo,JPN
Mare Nostrum -  Meeting International de Canet-en-Roussillon 2014,02:19.67,11/06/2014,Women 200 Breaststroke LCM Female,DEN,Denmark,"PEDERSEN, Rikke",F,09/01/1989,,,11,11,988,Canet-En-Roussillon,FRA
Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2017,02:19.83,13/06/2017,Women 200 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,12,12,984,Barcelona,ESP
European Championships 2014,02:19.84,22/08/2014,Women 200 Breaststroke LCM Female,DEN,Denmark,"PEDERSEN, Rikke",F,09/01/1989,,,13,13,984,Berlin,GER
15th FINA World Championships 2013,02:19.85,01/08/2013,Women 200 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,14,14,994,Barcelona,ESP
Olympic Games Tokyo 2020,02:19.92,30/07/2021,Women 200 Breaststroke LCM Female,USA,United States of America,"KING, Lilly",F,10/02/1997,,,15,15,982,Tokyo,JPN
Danish Open 2014,02:19.94,27/03/2014,Women 200 Breaststroke LCM Female,DEN,Denmark,"PEDERSEN, Rikke",F,09/01/1989,,,16,16,982,Bronshoj,DEN
Olympic Games London 2012,02:20.00,01/08/2012,Women 200 Breaststroke LCM Female,USA,United States of America,"SONI, Rebecca",F,18/03/1987,,,17,17,1002,London,GBR
Aquatic Super Series 2016,02:20.04,06/02/2016,Women 200 Breaststroke LCM Female,JPN,Japan,"KANETO, Rie",F,08/09/1988,,,18,18,980,Perth,AUS
15th FINA World Championships 2013,02:20.08,02/08/2013,Women 200 Breaststroke LCM Female,DEN,Denmark,"PEDERSEN, Rikke",F,09/01/1989,,,19,19,989,Barcelona,ESP
13th FINA World Championships 2009,02:20.12,30/07/2009,Women 200 Breaststroke LCM Female,CAN,Canada,"PIERSE, Annamay",F,05/12/1983,,,20,20,,Rome,ITA
Mare Nostrum -  Meeting International de Canet-en-Roussillon 2017,02:20.15,18/06/2017,Women 200 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,21,21,977,Canet-en-Roussillon,FRA
South Africa Invitational Aquatic Championships 2021,02:20.17,09/04/2021,Women 200 Breaststroke LCM Female,RSA,South Africa,"SCHOENMAKER, Tatjana",F,09/07/1997,,,22,22,977,Port Elizabeth,RSA
18th FINA World Championships 2019,02:20.17,26/07/2019,Women 200 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,22,23,977,Gwangju,KOR
Olympic Games Beijing 2008,02:20.22,15/08/2008,Women 200 Breaststroke LCM Female,USA,United States of America,"SONI, Rebecca",F,18/03/1987,,,24,24,1054,Beijing,CHN
Olympic Games Rio 2016,02:20.30,11/08/2016,Women 200 Breaststroke LCM Female,JPN,Japan,"KANETO, Rie",F,08/09/1988,,,25,25,974,Rio de Janeiro,BRA
Danish Open,02:20.53,26/03/2013,Women 200 Breaststroke LCM Female,DEN,Denmark,"PEDERSEN, Rikke",F,09/01/1989,,,26,26,980,Bronshoj,DEN
Australian National Championships (50m),02:20.54,01/02/2006,Women 200 Breaststroke LCM Female,AUS,Australia,"JONES, Leisel",F,30/08/1985,,,27,27,,Melbourne,AUS
Olympic Games Tokyo 2020,02:20.57,29/07/2021,Women 200 Breaststroke LCM Female,ROC,ROC,"CHIKUNOVA, Evgeniia",F,17/11/2004,,,28,28,969,Tokyo,JPN
11th Pan Pacific Championships 2010,02:20.69,21/08/2010,Women 200 Breaststroke LCM Female,USA,United States of America,"SONI, Rebecca",F,18/03/1987,,,29,29,987,Irvine,USA
55th International Trophy “Settecolli”,02:20.72,01/07/2018,Women 200 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,30,30,966,Rome,ITA
55th International Trophy “Settecolli”,02:20.72,29/06/2018,Women 200 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,30,31,966,Rome,ITA
Olympic Games London 2012,02:20.72,02/08/2012,Women 200 Breaststroke LCM Female,JPN,Japan,"SUZUKI, Satomi",F,29/01/1991,,,30,32,987,London,GBR
18th Commonwealth Games 2006,02:20.72,18/03/2006,Women 200 Breaststroke LCM Female,AUS,Australia,"JONES, Leisel",F,30/08/1985,,,30,33,,Melbourne,AUS
TYR Pro Swim Series Bloomington 2019,02:20.77,19/05/2019,Women 200 Breaststroke LCM Female,USA,United States of America,"LAZOR, Annie",F,17/08/1994,,,34,34,965,Bloomington,USA
Olympic Games Tokyo 2020,02:20.84,30/07/2021,Women 200 Breaststroke LCM Female,USA,United States of America,"LAZOR, Annie",F,17/08/1994,,,35,35,963,Tokyo,JPN
Olympic Games Tokyo 2020,02:20.88,30/07/2021,Women 200 Breaststroke LCM Female,ROC,ROC,"CHIKUNOVA, Evgeniia",F,17/11/2004,,,36,36,962,Tokyo,JPN
British National Swimming Championships (50m),02:20.89,15/04/2021,Women 200 Breaststroke LCM Female,GBR,Great Britain,"RENSHAW, Molly",F,06/05/1996,,,37,37,962,London,GBR
Japan Swim 2015,02:20.90,12/04/2015,Women 200 Breaststroke LCM Female,JPN,Japan,"WATANABE, Kanako",F,15/11/1996,,,38,38,962,Tokyo,JPN
