meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Olympic Games Tokyo 2020,49.45,31/07/2021,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,1,1,1003,Tokyo,JPN
18th FINA World Championships 2019,49.50,26/07/2019,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,2,2,1019,Gwangju,KOR
18th FINA World Championships 2019,49.66,27/07/2019,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,3,3,1009,Gwangju,KOR
Olympic Games Tokyo 2020,49.68,31/07/2021,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,4,4,989,Tokyo,JPN
Olympic Games Tokyo 2020,49.71,30/07/2021,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,5,5,987,Tokyo,JPN
US Olympic Team Trials - Wave II,49.76,18/06/2021,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,6,6,984,Omaha,USA
13th FINA World Championships 2009,49.82,01/08/2009,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,7,7,,Rome,ITA
17th FINA World Championships 2017,49.86,29/07/2017,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,8,8,997,Budapest,HUN
US Olympic Team Trials - Wave II,49.87,19/06/2021,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,9,9,977,Omaha,USA
13th FINA World Championships 2009,49.95,01/08/2009,Men 100 Butterfly LCM Male,SRB,Serbia,"CAVIC, Milorad",M,31/05/1984,,,10,10,,Rome,ITA
Phillips 66 International Team Trials 2022,50.01,28/04/2022,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,11,11,966,Greensboro,USA
13th FINA World Championships 2009,50.01,31/07/2009,Men 100 Butterfly LCM Male,SRB,Serbia,"CAVIC, Milorad",M,31/05/1984,,,11,12,,Rome,ITA
17th FINA World Championships 2017,50.07,28/07/2017,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,13,13,985,Budapest,HUN
17th FINA World Championships 2017,50.08,28/07/2017,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,14,14,984,Budapest,HUN
19th FINA World Championships Budapest 2022,50.14,24/06/2022,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,15,15,959,Budapest,HUN
19th FINA World Championships Budapest 2022,50.14,23/06/2022,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,15,16,959,Budapest,HUN
US Olympic Team Trials - Wave II,50.17,18/06/2021,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,17,17,960,Omaha,USA
European Championships 2021,50.18,23/05/2021,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,18,18,959,Budapest,HUN
Phillips 66 International Team Trials 2022,50.20,28/04/2022,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,19,19,955,Greensboro,USA
US National Championships (50m),50.22,09/07/2009,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,20,20,,Indianapolis,USA
18th FINA World Championships 2019,50.28,26/07/2019,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,21,21,972,Gwangju,KOR
Olympic Games Tokyo 2020,50.31,30/07/2021,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,22,22,952,Tokyo,JPN
Mission Viejo Swim Meet of Champions,50.36,23/06/2019,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,23,23,968,Mission Viejo,USA
Olympic Games Tokyo 2020,50.39,29/07/2021,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,24,24,947,Tokyo,JPN
Olympic Games Rio 2016,50.39,12/08/2016,Men 100 Butterfly LCM Male,SGP,Singapore,"SCHOOLING, Joseph",M,16/06/1995,,,24,25,966,Rio de Janeiro,BRA
11th FINA World Championships 2005,50.40,30/07/2005,Men 100 Butterfly LCM Male,USA,United States of America,"CROCKER, Ian",M,31/08/1982,,,26,26,,Montreal,CAN
13th FINA World Championships 2009,50.41,01/08/2009,Men 100 Butterfly LCM Male,ESP,Spain,"MUNOZ, Rafael",M,03/03/1988,,,27,27,,Rome,ITA
Hancock Prospecting Australian Swimming Trials 2021,50.45,17/06/2021,Men 100 Butterfly LCM Male,AUS,Australia,"TEMPLE, Matthew",M,20/06/1999,,,28,28,944,Adelaide,AUS
US National Championships (50m),50.45,08/08/2015,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,28,29,963,San Antonio,USA
Hungarian National Championships (50m),50.47,27/03/2021,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,30,30,943,Budapest,HUN
13th FINA World Championships 2009,50.48,31/07/2009,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,31,31,,Rome,ITA
US National Championships (50m),50.50,27/07/2018,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,32,32,960,Irvine,USA
