meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
13th FINA World Championships 2009,01:52.98,29/07/2009,Women 200 Freestyle LCM Female,ITA,Italy,"PELLEGRINI, Federica",F,05/08/1988,,,1,1,,Rome,ITA
Hancock Prospecting Australian Swimming Trials 2021,01:53.09,14/06/2021,Women 200 Freestyle LCM Female,AUS,Australia,"TITMUS, Ariarne",F,07/09/2000,,,2,2,997,Adelaide,AUS
Australian National Championships (50m),01:53.31,20/05/2022,Women 200 Freestyle LCM Female,AUS,Australia,"TITMUS, Ariarne",F,07/09/2000,,,3,3,991,Adelaide,AUS
Olympic Games Tokyo 2020,01:53.50,28/07/2021,Women 200 Freestyle LCM Female,AUS,Australia,"TITMUS, Ariarne",F,07/09/2000,,,4,4,986,Tokyo,JPN
Olympic Games London 2012,01:53.61,31/07/2012,Women 200 Freestyle LCM Female,USA,United States of America,"SCHMITT, Allison",F,07/06/1990,,,5,5,983,London,GBR
13th FINA World Championships 2009,01:53.67,28/07/2009,Women 200 Freestyle LCM Female,ITA,Italy,"PELLEGRINI, Federica",F,05/08/1988,,,6,6,,Rome,ITA
Olympic Games Rio 2016,01:53.73,09/08/2016,Women 200 Freestyle LCM Female,USA,United States of America,"LEDECKY, Katie",F,17/03/1997,,,7,7,980,Rio de Janeiro,BRA
Olympic Games Tokyo 2020,01:53.92,28/07/2021,Women 200 Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan Bernadette",F,31/10/1997,,,8,8,975,Tokyo,JPN
Olympic Games Rio 2016,01:54.08,09/08/2016,Women 200 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,9,9,971,Rio de Janeiro,BRA
18th FINA World Championships 2019,01:54.22,24/07/2019,Women 200 Freestyle LCM Female,ITA,Italy,"PELLEGRINI, Federica",F,05/08/1988,,,10,10,967,Gwangju,KOR
The National Games,01:54.26,22/09/2021,Women 200 Freestyle LCM Female,CHN,People's Republic of China,"TANG, Muhan",F,04/09/2003,,,11,11,966,Xian,CHN
18th FINA World Championships 2019,01:54.27,25/07/2019,Women 200 Freestyle LCM Female,AUS,Australia,"TITMUS, Ariarne",F,07/09/2000,,,12,12,966,Gwangju,KOR
