meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
FINA/airweave Swimming World Cup 2017,56.51,07/08/2017,Women 100 Medley SCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,1,1,1008,Berlin,GER
European Short Course Swimming Championships 2015,56.67,04/12/2015,Women 100 Medley SCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,2,2,1001,Netanya,ISR
12th FINA World Swimming Championships (25m) 2014,56.70,05/12/2014,Women 100 Medley SCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,3,3,1040,Doha,QAT
European Short Course Swimming Championships 2017,56.75,14/12/2017,Women 100 Medley SCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,4,4,995,Copenhagen,DEN
FINA/MASTBANK Swimming World Cup 2014,56.86,01/09/2014,Women 100 Medley SCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,5,5,,Dubai,UAE
European Short Course Swimming Championships 2017,56.97,15/12/2017,Women 100 Medley SCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,6,6,984,Copenhagen,DEN
FINA/airweave Swimming World Cup 2017,56.97,01/10/2017,Women 100 Medley SCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,6,7,984,Hong Kong,HKG
FINA/airweave Swimming World Cup 2017,56.99,07/08/2017,Women 100 Medley SCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,8,8,983,Berlin,GER
12th FINA World Swimming Championships (25m) 2014,56.99,04/12/2014,Women 100 Medley SCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,8,9,1024,Doha,QAT
FINA/airweave Swimming World Cup 2017,57.02,02/08/2017,Women 100 Medley SCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,10,10,981,Moscow,RUS
FINA Swimming World Cup 2018,57.05,02/11/2018,Women 100 Medley SCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,11,11,971,Beijing,CHN
FINA Swimming World Cup 2018,57.06,09/11/2018,Women 100 Medley SCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,12,12,971,Tokyo,JPN
FINA/airweave Swimming World Cup 2017,57.09,15/11/2017,Women 100 Medley SCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,13,13,978,Tokyo,JPN
FINA/airweave Swimming World Cup 2017,57.10,02/08/2017,Women 100 Medley SCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,14,14,977,Moscow,RUS
FINA/airweave Swimming World Cup 2016,57.12,31/08/2016,Women 100 Medley SCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,15,15,978,Berlin,GER
FINA Swimming World Cup 2018,57.18,15/11/2018,Women 100 Medley SCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,16,16,965,Singapore,SGP
13th FINA World Swimming Championships (25m) 2016,57.24,09/12/2016,Women 100 Medley SCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,17,17,970,Windsor,CAN
FINA Swimming World Cup 2018,57.25,09/11/2018,Women 100 Medley SCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,18,18,961,Tokyo,JPN
FINA/MASTBANK Swimming World Cup 2014,57.25,28/08/2014,Women 100 Medley SCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,18,19,1025,Doha,QAT
14th FINA World Swimming Championships (25m) 2018,57.26,14/12/2018,Women 100 Medley SCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,20,20,961,Hangzhou,CHN
FINA/airweave Swimming World Cup 2017,57.26,05/10/2017,Women 100 Medley SCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,20,21,969,Doha,QAT
FINA Swimming World Cup 2018,57.28,09/11/2018,Women 100 Medley SCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,22,22,960,Tokyo,JPN
ISL 2020 Season - Final,57.30,22/11/2020,Women 100 Medley SCM Female,FRA,France,"GASTALDELLO, Beryl",F,16/02/1995,,,23,23,959,Budapest,HUN
FINA/airweave Swimming World Cup 2017,57.30,07/08/2017,Women 100 Medley SCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,23,24,967,Berlin,GER
