meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
14th FINA World Championships 2011,01:54.00,28/07/2011,Men 200 Medley LCM Male,USA,United States of America,"LOCHTE, Ryan",M,03/08/1984,,,1,1,1002,Shanghai,CHN
13th FINA World Championships 2009,01:54.10,30/07/2009,Men 200 Medley LCM Male,USA,United States of America,"LOCHTE, Ryan",M,03/08/1984,,,2,2,,Rome,ITA
14th FINA World Championships 2011,01:54.16,28/07/2011,Men 200 Medley LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,3,3,998,Shanghai,CHN
Olympic Games Beijing 2008,01:54.23,15/08/2008,Men 200 Medley LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,4,4,1080,Beijing,CHN
Olympic Games London 2012,01:54.27,02/08/2012,Men 200 Medley LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,5,5,992,London,GBR
11th Pan Pacific Championships 2010,01:54.43,21/08/2010,Men 200 Medley LCM Male,USA,United States of America,"LOCHTE, Ryan",M,03/08/1984,,,6,6,991,Irvine,USA
Olympic Games Rio 2016,01:54.66,11/08/2016,Men 200 Medley LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,7,7,982,Rio de Janeiro,BRA
US National Championships (50m),01:54.75,09/08/2015,Men 200 Medley LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,8,8,980,San Antonio,USA
USA Olympic Team Trials,01:54.80,04/07/2008,Men 200 Medley LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,9,9,1064,Omaha,USA
US Olympic Team Trials,01:54.84,25/06/2012,Men 200 Medley LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,10,10,978,Omaha,USA
Olympic Games London 2012,01:54.90,02/08/2012,Men 200 Medley LCM Male,USA,United States of America,"LOCHTE, Ryan",M,03/08/1984,,,11,11,976,London,GBR
US Olympic Team Trials,01:54.93,25/06/2012,Men 200 Medley LCM Male,USA,United States of America,"LOCHTE, Ryan",M,03/08/1984,,,12,12,975,Omaha,USA
