meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Olympic Games Rio 2016,04:26.36,06/08/2016,Women 400 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,1,1,1023,Rio de Janeiro,BRA
Olympic Games London 2012,04:28.43,28/07/2012,Women 400 Medley LCM Female,CHN,People's Republic of China,"YE, Shiwen",F,01/03/1996,,,2,2,1011,London,GBR
Olympic Games Rio 2016,04:28.58,06/08/2016,Women 400 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,3,3,998,Rio de Janeiro,BRA
17th FINA World Championships 2017,04:29.33,30/07/2017,Women 400 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,4,4,967,Budapest,HUN
Olympic Games Beijing 2008,04:29.45,10/08/2008,Women 400 Medley LCM Female,AUS,Australia,"RICE, Stephanie",F,17/06/1988,,,5,5,1039,Beijing,CHN
Meeting Open de la Mediterranee Circuit FFN - Gold,04:29.89,04/03/2016,Women 400 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,6,6,983,Marseille,FRA
Olympic Games Beijing 2008,04:29.89,10/08/2008,Women 400 Medley LCM Female,ZIM,Zimbabwe,"COVENTRY, Kirsty",F,16/09/1983,,,6,7,1034,Beijing,CHN
13th FINA World Championships 2009,04:30.31,02/08/2009,Women 400 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,8,8,,Rome,ITA
18th FINA World Championships 2019,04:30.39,28/07/2019,Women 400 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,9,9,955,Gwangju,KOR
16th FINA World Championships 2015,04:30.39,09/08/2015,Women 400 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,9,10,978,Kazan,RUS
15th FINA World Championships 2013,04:30.41,04/08/2013,Women 400 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,11,11,978,Barcelona,ESP
Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2016,04:30.75,11/06/2016,Women 400 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,12,12,974,Barcelona,ESP
Japan Swim 2018,04:30.82,08/04/2018,Women 400 Medley LCM Female,JPN,Japan,"OHASHI, Yui",F,18/10/1995,,,13,13,951,Tokyo,JPN
Chinese National Championships (50m),04:30.84,12/05/2014,Women 400 Medley LCM Female,CHN,People's Republic of China,"YE, Shiwen",F,01/03/1996,,,14,14,973,QINGDAO,CHN
European Championships 2016,04:30.90,16/05/2016,Women 400 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,15,15,972,London,GBR
European Championships 2016,04:30.97,16/05/2016,Women 400 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,16,16,972,London,GBR
European Championships 2014,04:31.03,18/08/2014,Women 400 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,17,17,971,Berlin,GER
Arena Pro Swim Series at Santa Clara 2015,04:31.07,19/06/2015,Women 400 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,18,18,971,Santa Clara,USA
USA Olympic Team Trials,04:31.12,29/06/2008,Women 400 Medley LCM Female,USA,United States of America,"HOFF, Katie",F,03/06/1989,,,19,19,1020,Omaha,USA
Olympic Games Rio 2016,04:31.15,06/08/2016,Women 400 Medley LCM Female,USA,United States of America,"DI RADO, Maya",F,05/04/1993,,,20,20,970,Rio de Janeiro,BRA
15th FINA World Championships 2013,04:31.21,04/08/2013,Women 400 Medley LCM Female,ESP,Spain,"BELMONTE, Mireia",F,10/11/1990,,,21,21,969,Barcelona,ESP
Olympic Games London 2012,04:31.27,28/07/2012,Women 400 Medley LCM Female,USA,United States of America,"BEISEL, Elizabeth",F,18/08/1992,,,22,22,980,London,GBR
British National Championships (50m),04:31.33,20/03/2009,Women 400 Medley LCM Female,GBR,Great Britain,"MILEY, Hannah",F,08/08/1989,,,23,23,,Sheffield,GBR
Japan Swim 2017,04:31.42,13/04/2017,Women 400 Medley LCM Female,JPN,Japan,"OHASHI, Yui",F,18/10/1995,,,24,24,945,Aichi,JPN
European Championships 2014,04:31.53,18/08/2014,Women 400 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,03/05/1989,,,25,25,966,Berlin,GER
